source_plot_id,lat,lon,year,species,trees_per_acre,trees_per_hectare
7369093010661,39.19455,-79.472,1989,318.0,311.8097,770.498547
7369143010661,39.2501,-79.05531,1989,837.0,403.2993,996.574272
7369173010661,38.91678,-79.05531,1989,318.0,800.9887,1979.286179
7369225010661,39.16677,-79.11087,1989,Unknown,,
7369238010661,38.889,-79.11087,1989,693.0,317.7509,785.179572
7369289010661,38.86122,-79.11087,1989,315.0,410.3652,1014.034491
7369340010661,38.889,-79.13865,1989,832.0,250.0789,617.958419
7369396010661,38.94455,-79.41644,1989,318.0,521.4285,1288.477882
7369488010661,39.22233,-79.1942,1989,316.0,241.2666,596.182751
7369558010661,39.19455,-79.44422,1989,318.0,532.0151,1314.63794
7369625010661,39.22233,-79.1942,1989,833.0,797.7211,1971.211763
7369668010661,39.22233,-78.99975,1989,318.0,181.5467,448.611665
7369717010661,38.97233,-79.08309,1989,132.0,222.4568,549.702723
7369798010661,39.30566,-79.16642,1989,762.0,565.4325,1397.214133
7369855010661,38.91678,-79.1942,1989,693.0,448.6884,1108.73318
7369953010661,39.08344,-79.3331,1989,531.0,498.4289,1231.644632
7370025010661,39.22233,-79.05531,1989,318.0,142.024,350.948946
7370077010661,39.22233,-79.16643,1989,400.0,146.8092,362.773433
7370137010661,39.08344,-79.24976,1989,491.0,1011.5706,2499.645385
7370190010661,39.139,-79.27754,1989,Unknown,,
7370205010661,39.05566,-79.16643,1989,132.0,60.9755,150.673742
7370236010661,39.19455,-79.11087,1989,832.0,76.9715,190.200718
7370279010661,38.97233,-79.11087,1989,Unknown,,
7370295010661,39.30566,-79.1942,1989,Unknown,,
7370310010661,39.02789,-79.44422,1989,Unknown,,
7370324010661,39.11122,-79.08309,1989,Unknown,,
7370339010661,39.05566,-79.11087,1989,Unknown,,
7370348010661,38.97233,-79.1942,1989,Unknown,,
7370356010661,39.02789,-79.16643,1989,Unknown,,
7370365010661,39.00011,-79.1942,1989,Unknown,,
7370378010661,39.08344,-79.1942,1989,Unknown,,
7370386010661,39.05566,-79.1942,1989,833.0,149.3154,368.966388
7370434010661,39.05566,-79.13865,1989,832.0,224.097,553.755746
7370502010661,39.19455,-79.1942,1989,318.0,698.5045,1726.042206
7370566010661,39.2501,-79.13865,1989,701.0,582.6335,1439.71873
7370614010661,39.11122,-79.30532,1989,762.0,45.6264,112.74529
7370640010661,39.30566,-79.27754,1989,316.0,646.9606,1598.674456
7370718010661,39.27788,-79.16642,1989,746.0,202.565,500.549015
7370736010661,39.16677,-79.27754,1989,316.0,290.172,717.030626
7370810010661,39.05566,-79.27754,1989,832.0,384.3984,949.869131
7370864010661,38.83345,-79.11087,1989,832.0,913.6542,2257.688692
7370932010661,38.889,-79.08309,1989,471.0,1088.5593,2689.888606
7370973010661,38.91678,-79.08309,1989,110.0,837.3986,2069.257001
7371030010661,38.97233,-79.1942,1989,832.0,194.1328,479.712595
7371099010661,38.91678,-79.1942,1989,316.0,372.3607,920.123326
7371162010661,38.91678,-79.16643,1989,Unknown,,
7371178010661,39.11122,-79.11087,1989,833.0,1022.8677,2527.561127
7371237010661,38.86122,-79.1942,1989,132.0,771.7589,1907.05777
7371301010661,38.86122,-79.1942,1989,132.0,242.2033,598.497387
7371368010661,38.86122,-79.16643,1989,400.0,337.5071,833.998205
7371404010661,39.139,-79.13865,1989,762.0,213.6218,527.870963
7371461010661,38.889,-79.13865,1989,711.0,845.2848,2088.744226
7371495010661,39.05566,-79.27754,1989,491.0,522.0766,1290.079372
7371547010661,39.00011,-79.30532,1989,371.0,759.239,1876.120424
7371613010661,38.91678,-79.27754,1989,316.0,834.0102,2060.884082
7371679010661,38.94455,-79.27754,1989,400.0,332.3879,821.348387
7371727010661,39.070753,-79.233537,1989,Unknown,,
7371741010661,39.070753,-79.233537,1989,Unknown,,
7371750010661,39.070753,-79.233537,1989,Unknown,,
7379293010661,39.22233,-78.44417,1989,Unknown,,
7379307010661,39.13899,-78.58307,1989,400.0,517.2852,1278.239564
7379361010661,39.16677,-78.63862,1989,Unknown,,
7379377010661,39.38899,-78.69418,1989,132.0,410.1089,1013.40116
7379458010661,39.22233,-78.74974,1989,126.0,820.4801,2027.450477
7379584010661,39.36121,-78.38862,1989,693.0,613.0063,1514.771553
7379641010661,39.33343,-78.4164,1989,693.0,368.4311,910.413073
7379686010661,39.47232,-78.4164,1989,316.0,512.2095,1265.697236
7379737010661,39.47232,-78.47195,1989,833.0,364.0621,899.617039
7379802010661,39.44454,-78.47195,1989,316.0,1954.5004,4829.67566
7379860010661,39.38899,-78.47195,1989,129.0,494.5966,1222.174813
7379910010661,39.13899,-78.47195,1989,316.0,856.0793,2115.418016
7379974010661,39.11122,-78.47195,1989,400.0,324.6673,802.270369
7380051010661,39.13899,-78.49973,1989,132.0,548.4143,1355.161245
7380092010661,39.2501,-78.49973,1989,316.0,986.8362,2438.525352
7380155010661,39.11122,-78.55529,1989,356.0,401.416,991.920536
7380218010661,39.2501,-78.58307,1989,837.0,765.1012,1890.606235
7380290010661,39.55565,-78.63863,1989,762.0,622.038,1537.08937
7380331010661,39.38899,-78.44418,1989,832.0,526.2472,1300.385149
7380383010661,39.19455,-78.83308,1989,802.0,187.5041,463.332721
7380435010661,39.44454,-78.69418,1989,132.0,158.1353,390.760836
7380502010661,39.16677,-78.69418,1989,400.0,206.2295,509.604192
7380572010661,39.27788,-78.72196,1989,833.0,536.0473,1324.601723
7380631010661,39.33343,-78.72196,1989,802.0,161.1228,398.143109
7380680010661,39.36121,-78.72196,1989,400.0,733.5282,1812.587653
7380745010661,39.2501,-78.8053,1989,832.0,245.2692,606.073391
7380797010661,39.52787,-78.61085,1989,318.0,1142.1227,2822.246649
7380860010661,39.22233,-78.91641,1989,125.0,44.8484,110.82281
7380888010661,39.19455,-78.47195,1989,132.0,218.6815,540.373754
7380954010661,39.16677,-78.88863,1989,317.0,352.2346,870.39065
7381000010661,39.30566,-78.38862,1989,832.0,582.9165,1440.418038
7381082010661,39.47232,-78.52751,1989,693.0,790.5201,1953.417705
7381137010661,39.30566,-78.61085,1989,541.0,49.0463,121.196046
7381163010661,39.22233,-78.8053,1989,132.0,742.1205,1833.819689
7381218010661,39.33343,-78.63862,1989,602.0,28.4748,70.362763
7381246010661,39.22233,-78.88863,1989,400.0,51.0921,126.251328
7381268010661,39.41676,-78.49973,1989,693.0,111.4787,275.469866
7381330010661,39.38899,-78.44418,1989,391.0,468.3178,1157.238484
7381371010661,39.44454,-78.49973,1989,491.0,340.5824,841.597437
7381427010661,39.41676,-78.44418,1989,621.0,343.1948,848.052818
7381504010661,39.50009,-78.49973,1989,901.0,275.0377,679.632956
7381541010661,39.50009,-78.58307,1989,Unknown,,
7381557010661,39.47232,-78.52751,1989,356.0,847.8628,2095.114602
7381646010661,39.41676,-78.49973,1989,693.0,107.2608,265.047209
7381689010661,39.30566,-78.55529,1989,Unknown,,
7381698010661,39.30566,-78.47195,1989,693.0,599.6462,1481.758027
7381765010661,39.27788,-78.55529,1989,837.0,534.4529,1320.661875
7381824010661,39.27788,-78.55529,1989,Unknown,,
7381843010661,39.2501,-78.58307,1989,Unknown,,
7381861010661,39.22233,-78.61085,1989,316.0,1594.5818,3940.297432
7381919010661,39.16677,-78.55529,1989,693.0,974.7578,2408.678976
7381972010661,39.16677,-78.52751,1989,491.0,552.646,1365.618004
7382043010661,39.22233,-78.61085,1989,316.0,820.5892,2027.720069
